9ab5339a	Martin Zackrisson	2017-10-07 21:13:19 +0200	Placeholder items a thing again
f9c77a96	Martin Zackrisson	2017-10-07 20:57:56 +0200	Selection works
6298887e	Martin Zackrisson	2017-10-07 20:50:19 +0200	Updating games-view
e4c0bfe0	Martin Zackrisson	2017-10-07 20:46:47 +0200	Added grid selector
dda64624	Martin Zackrisson	2017-10-06 16:27:49 +0200	Removed some unused stuff
b3941364	Martin Zackrisson	2017-10-06 16:27:05 +0200	Anonymous comments enabled when commenting
f2316bcb	Martin Zackrisson	2017-10-06 16:12:21 +0200	Fixed node anon deactivation
adff4e1d	Martin Zackrisson	2017-10-06 15:36:34 +0200	Extended Note.Add to allow anon state passing
09ee24f4	Martin Zackrisson	2017-10-06 15:35:58 +0200	Removed stuff not needed
48cbac4e	Martin Zackrisson	2017-10-06 08:49:58 +0200	Setting allowing anonymous commens
9f53ba5e	Mike Kasprzak	2017-10-05 20:46:45 -0400	Merge pull request #1251 from povrazor/local-minimum-notification_feed_copy2
046c9439	Mike Kasprzak	2017-10-05 20:44:25 -0400	fixed eslint issues
709fe44e	Mike Kasprzak	2017-10-05 20:02:46 -0400	Merge pull request #1250 from povrazor/rollup-48-tweak
1b5f2c7d	Mike Kasprzak	2017-10-05 20:02:00 -0400	fixed rollup.js v0.48 problem
0994238c	Mike Kasprzak	2017-10-05 19:57:15 -0400	Merge pull request #1249 from povrazor/js-linter
9cc86094	Mike Kasprzak	2017-10-05 19:51:05 -0400	New stricter ESLint rules. sorry ;)
646eeeb5	Mike Kasprzak	2017-10-05 18:24:31 -0400	please include & :)
fd82e591	Martin Zackrisson	2017-10-05 23:46:41 +0200	More useful limit now that not testing anymore
6f719729	Martin Zackrisson	2017-10-05 23:30:04 +0200	Getting up to speed with new api
261af718	Martin Zackrisson	2017-10-05 22:58:35 +0200	fixing issues after rebase
3e71d32f	Martin Zackrisson	2017-10-05 22:05:10 +0200	More and mark read works
5654e3c2	Martin Zackrisson	2017-10-05 21:01:59 +0200		used limit
6c807ad9	Martin Zackrisson	2017-10-05 18:04:40 +0200	Better wording on notifications
e2af0c2a	Martin Zackrisson	2017-10-05 18:04:18 +0200	Fixed relations checking
507b4e6d	Martin Zackrisson	2017-10-05 17:48:17 +0200	Importing from new location
3b15042a	Martin Zackrisson	2017-10-05 17:47:57 +0200	Better notification strings
a8c4ce69	Martin Zackrisson	2017-10-05 17:37:08 +0200	Moved files
60f12242	Martin Zackrisson	2017-10-05 17:35:14 +0200	Documenting todo and such
0c17aebe	Martin Zackrisson	2017-10-05 08:45:07 +0200	Fixed notification formulation
a8eec7e7	Martin Zackrisson	2017-10-04 23:33:31 +0200	Fixed so doesn't poll for notifications if not logged in
b4fb0d23	Martin Zackrisson	2017-10-04 23:23:55 +0200	Highest read and marking
d20b32d3	Martin Zackrisson	2017-10-04 22:56:34 +0200	Fixed some phrasing
715f5574	Martin Zackrisson	2017-10-04 08:41:39 +0200	Removed unused stuff
6b545331	Martin Zackrisson	2017-10-04 08:33:22 +0200	Fixed notification render bugs
45cc5e16	Martin Zackrisson	2017-10-04 00:07:47 +0200	Fixed some of the bugs
26567621	Martin Zackrisson	2017-10-03 23:45:06 +0200	Note order working through compiler
9755c902	Martin Zackrisson	2017-10-03 23:07:44 +0200	Using new data to make notifications
9e162b33	Martin Zackrisson	2017-10-03 17:56:02 +0200	Removed the Set
06a41aea	Martin Zackrisson	2017-10-03 08:49:40 +0200	Fixed typo
b10e0fcd	Martin Zackrisson	2017-10-03 08:47:44 +0200	Setting social status on users, using the Pick
25eede7a	Martin Zackrisson	2017-10-03 08:18:07 +0200	Added Note.Pick for map of node=>[notes] pairs
000c357e	Martin Zackrisson	2017-10-02 23:13:33 +0200	Social started
b136d589	Martin Zackrisson	2017-10-02 22:51:57 +0200	Paralell requests and Promise.all
c6da099e	Martin Zackrisson	2017-10-02 22:30:41 +0200	In progress new getting info for notiications
1099fc1b	Martin Zackrisson	2017-10-02 17:21:11 +0200	Optimizing requests to server
007d9d80	Martin Zackrisson	2017-10-02 02:32:12 +0200	Removed commented code
c5a9217b	Martin Zackrisson	2017-10-02 02:31:04 +0200	Styling navlinks instead
a11e4a3e	Martin Zackrisson	2017-10-02 00:53:07 +0200	Notifications now have id
e9b16bde	Martin Zackrisson	2017-10-01 23:00:47 +0200	Added missing at-name
f2671f11	Martin Zackrisson	2017-10-01 22:16:23 +0200	At name div general styling (for now perhaps)
abdcd768	Martin Zackrisson	2017-10-01 22:11:58 +0200	Better styling
ed02b187	Martin Zackrisson	2017-10-01 19:59:21 +0200	Debug title on navlinks
0e558178	Martin Zackrisson	2017-10-01 18:08:19 +0200	Why is not all notifications showing
0b7787c0	Martin Zackrisson	2017-10-01 15:21:00 +0200	Nav to notifications work better
4b2a3d3d	Martin Zackrisson	2017-09-29 10:50:07 +0200	Notificatons feed better knowledge of things still buggy
4b09699a	Martin Zackrisson	2017-09-29 10:05:47 +0200	More jsx
05189a60	Martin Zackrisson	2017-09-28 15:37:45 +0200	Prob NOK hack to have a home-slug treated differently
b2eb1fee	Martin Zackrisson	2017-09-28 15:37:32 +0200	Simple home
fa1cbc57	Martin Zackrisson	2017-09-28 15:08:11 +0200	Dropdown works as it did before refactoring
6c8241b2	Martin Zackrisson	2017-09-28 08:51:57 +0200	Now comments render
c8306c94	Martin Zackrisson	2017-09-27 18:07:02 +0200	Notifications dont render when loaded though they do
a545e975	Mike Kasprzak	2017-10-05 01:36:19 -0400	Merge pull request #1247 from sgstair/anon_comments
d033e2a0	Stephen Stair	2017-10-04 17:49:50 -0700	Simulator now posts anonymous comments, and users "react" to new posts.
e931321c	Stephen Stair	2017-10-04 17:44:07 -0700	Fix error leading to 500 error on mark read.
42415470	Stephen Stair	2017-10-04 17:16:31 -0700	Fix bugs with anonymous comments, enable site to render anonymous comments.
dcfac0aa	Stephen Stair	2017-10-04 11:16:32 -0700	Fix bug
d2d5af98	Stephen Stair	2017-10-04 02:05:43 -0700	Add note flags, anonymous comment API
b8860203	Mike Kasprzak	2017-10-03 18:21:51 -0400	Merge pull request #1215 from local-minimum/tooltip2
3e9ef9f3	Mike Kasprzak	2017-10-02 15:28:16 -0400	Merge pull request #1241 from sgstair/fix_icons
ca5ddd37	Mike Kasprzak	2017-10-02 15:27:48 -0400	Merge pull request #1242 from povrazor/preact-8.2.5
d06f9f54	Mike Kasprzak	2017-10-02 15:09:33 -0400	uh, this can't be everything that changed
aebd6a60	Stephen Stair	2017-10-02 12:09:15 -0700	Update icons page to use minified svg & fix that
3b1d4184	Mike Kasprzak	2017-10-02 14:59:35 -0400	Merge pull request #1240 from sgstair/random_fixes
9cdcdc6f	Stephen Stair	2017-10-02 10:15:30 -0700	Fix IE11 navigation bug (typo) - Now the icon issues are more arbitrary and more widespread.
59c9bc48	Mike Kasprzak	2017-10-02 14:20:04 -0400	Merge pull request #1236 from sgstair/relocate_notification_data
f9ef70ef	Mike Kasprzak	2017-10-02 14:19:03 -0400	Merge pull request #1239 from sgstair/dev_icons
511fab08	Stephen Stair	2017-10-02 02:08:32 -0700	Now works on IE11 as well.
5e79e5fb	Stephen Stair	2017-10-02 01:30:11 -0700	Add dev site to display icons
d8aa3fd9	Stephen Stair	2017-10-01 09:58:14 -0700	Relocate max_read notification to server private metadata instead of user table. Also add max_read field to notification feeds. Note the table create change leaves the field present but hanging in test environments, it shouldn't cause a problem. May require VM rebuild if we update that table further.
885b11a0	Mike Kasprzak	2017-09-27 00:58:04 -0400	Merge pull request #1232 from povrazor/better-icon
a7dab6c9	Mike Kasprzak	2017-09-27 00:57:40 -0400	improved icon
46b37b78	Mike Kasprzak	2017-09-27 00:54:08 -0400	Merge pull request #1231 from povrazor/new-apis
b0adf9ef	Mike Kasprzak	2017-09-27 00:53:19 -0400	new apis
6464665a	Mike Kasprzak	2017-09-27 00:48:04 -0400	Merge pull request #1230 from povrazor/new-tv
95efd195	Mike Kasprzak	2017-09-27 00:47:33 -0400	New TV code
fd8e1815	Mike Kasprzak	2017-09-27 00:21:30 -0400	Merge pull request #1229 from povrazor/new-scope
6dae8a9a	Mike Kasprzak	2017-09-27 00:19:24 -0400	okay properly mergefixed
8b2a8941	Mike Kasprzak	2017-09-27 00:17:32 -0400	semi-merged, need to redo
0ff539ee	Mike Kasprzak	2017-09-27 00:14:03 -0400	renamed SH_NODE_META_ to SH_SCOPE_
f93bd889	Mike Kasprzak	2017-09-27 00:03:41 -0400	Merge pull request #1227 from povrazor/private-user
ce3f2b5d	Mike Kasprzak	2017-09-27 00:00:51 -0400	Merge remote-tracking branch 'upstream/master' into private-user
d240313b	Mike Kasprzak	2017-09-26 23:56:00 -0400	Merge pull request #1219 from sgstair/preact_dev_tools
80cae28c	Mike Kasprzak	2017-09-26 23:54:25 -0400	Merge pull request #1225 from povrazor/september-2017-uber-merge
1cccb381	Mike Kasprzak	2017-09-26 23:09:05 -0400	Better remove reason
3c47036b	Mike Kasprzak	2017-09-26 23:07:30 -0400	No need for version 2
e2af2f55	Mike Kasprzak	2017-09-26 23:04:22 -0400	sh_user security
62e73380	Mike Kasprzak	2017-09-26 23:03:30 -0400	sh_user security problem
a8893b12	Mike Kasprzak	2017-09-26 23:02:42 -0400	Add notes to remove sh_user changes
7e66a3f6	Mike Kasprzak	2017-09-26 22:56:24 -0400	Added a security note
7f14851a	Mike Kasprzak	2017-09-26 22:49:36 -0400	Added notes on code that needs permission changes
f67b84ed	Mike Kasprzak	2017-09-26 22:45:45 -0400	Marked admin code that needs to be changed
172c7389	Mike Kasprzak	2017-09-26 22:42:59 -0400	Marked a change in userAuth to be removed
22750067	Mike Kasprzak	2017-09-26 22:39:46 -0400	Removed unnecessary whitespace
58b873d9	Mike Kasprzak	2017-09-26 22:35:22 -0400	Don't use className. This isn't React.
227b95a8	Mike Kasprzak	2017-09-26 22:32:35 -0400	Simplified className code
ebac3f00	Mike Kasprzak	2017-09-26 22:25:24 -0400	Added tailing newline
c0052f96	Mike Kasprzak	2017-09-26 22:24:55 -0400	Added tailing newline
8419b87a	Mike Kasprzak	2017-09-26 22:24:25 -0400	Added tailing newline
ceb883a1	Mike Kasprzak	2017-09-26 22:24:02 -0400	Added tailing newline
e9eaf7b1	Mike Kasprzak	2017-09-26 22:23:05 -0400	Added newline
8dc1bc0d	Mike Kasprzak	2017-09-26 22:21:12 -0400	Testing a change
857fa0ec	Mike Kasprzak	2017-09-26 22:15:57 -0400	Merge branch 'local-minimum-notification_ui' into september-2017-uber-merge
2c34c02e	Mike Kasprzak	2017-09-26 21:27:53 -0400	merged in 'simulator_cache_fixes' and 'notification_api'
4bcbe746	Martin Zackrisson	2017-09-22 21:59:46 +0200	Fixed jumping bar-icons when toggling notifications
c1a56306	Martin Zackrisson	2017-09-22 21:44:49 +0200	Mostly working
b3743d82	Mike Kasprzak	2017-09-22 01:57:01 -0400	additional comments
4c808865	Mike Kasprzak	2017-09-22 01:43:14 -0400	removed old long obsolete meta values
0d7fc209	Mike Kasprzak	2017-09-22 01:41:50 -0400	added a comment better describing intent
ed9a9caa	Mike Kasprzak	2017-09-22 01:29:22 -0400	removed 'protected' concept. now private'
99375248	Mike Kasprzak	2017-09-21 21:46:03 -0400	userAuth_IsAdmin() doesn't need to be stored
cdcd59d6	Mike Kasprzak	2017-09-21 21:41:39 -0400	Update .gitignore
4ac713a1	Martin Zackrisson	2017-09-21 22:05:12 +0200	Slightly better styling
3aa264a8	Martin Zackrisson	2017-09-21 21:44:48 +0200	Now can safely work yourself through all your comments
a23708c2	Martin Zackrisson	2017-09-21 21:36:21 +0200	Marking and updating counts
e513a66d	Martin Zackrisson	2017-09-21 12:40:07 +0200	If notification cant be understood decrease total count
6801ac8d	Martin Zackrisson	2017-09-21 00:18:36 +0200	Linking to the node
c17b14bf	Martin Zackrisson	2017-09-21 00:09:31 +0200	Checking for mentions
bd342b6c	Martin Zackrisson	2017-09-20 23:44:34 +0200	Better notifications
5275eb6a	Stephen Stair	2017-09-20 13:54:12 -0700	Support React Dev Tools when site invoked with ?debug
152a2abc	Martin Zackrisson	2017-09-20 22:35:23 +0200	First basic notification
473495b7	Martin Zackrisson	2017-09-20 17:54:23 +0200	Testing around getting info about notifications
442c9057	Stephen Stair	2017-09-20 00:07:48 -0700	Fix bugs, allow games to send notifications to all team members.
ec108983	Martin Zackrisson	2017-09-19 15:37:31 +0200	Notifications count and start of dropdown
1dea7290	Martin Zackrisson	2017-09-19 15:02:18 +0200	Added notification to shrub/js
3611ad90	Stephen Stair	2017-09-19 01:40:17 -0700	Fix some bugs/issues in simulator.
1bce005d	Stephen Stair	2017-09-19 01:18:53 -0700	Added notification API usage to simulator, fixed bugs that were found.
f31ce329	Stephen Stair	2017-09-18 23:47:24 -0700	Fix bugs in notification implementation
61809d63	Stephen Stair	2017-09-18 23:07:04 -0700	Finished writing notification pushes.
9989a7cd	Stephen Stair	2017-09-18 21:58:11 -0700	Notification code complete.
6666fa63	Stephen Stair	2017-09-18 16:32:30 -0700	Simulator: solve caching issues, by using admin user + API to set meta on event. Also invalidate event node cache when changing event mode in dev_events
